"number","title","state","author","createdAt","updatedAt","assignees","labels"
2767,"macOS 11.x crash: WKWebViewConfiguration.upgradeKnownHostsToHTTPS unrecognized selector","OPEN","liuyanqing","2026-01-19T05:58:47Z","2026-01-19T05:58:50Z","","iOS;macOS"
2766,"feat: Add PreferredColorScheme support for WebView2 color scheme mana…","OPEN","rdesoky","2026-01-18T04:48:29Z","2026-01-18T04:48:33Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2758,"fix analysis failed on pub.dev (fix analysis_options.yaml)","OPEN","note11g","2025-12-30T07:25:39Z","2026-06-03T03:29:57Z","","android;iOS;windows;macOS;platform_interface;plugin;web"
2756,"Pr android choose media","OPEN","ditingvh","2025-12-26T01:41:48Z","2025-12-26T01:41:51Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2743,"feat: Add Web Authentication support for Android","OPEN","susemeee","2025-12-02T09:30:01Z","2026-06-03T05:16:14Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2729,"fix: skip deprecated navigation bar color APIs on Android 15 (API 35)","OPEN","ndenissov","2025-10-24T07:01:51Z","2026-07-28T10:26:27Z","","android"
2722,"feat: Add support for payment requests on Android","OPEN","AzarouAmine","2025-10-13T14:43:57Z","2026-06-03T05:16:14Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2715,"fix: add window context handling for AJAX interception in iframe scen…","OPEN","VanRooyHenri","2025-09-30T08:33:18Z","2026-06-03T05:21:56Z","","android;iOS;documentation;windows;macOS;linux;platform_interface;plugin;web"
2708,"fix windows hang-on","OPEN","alex-melnyk","2025-09-24T15:22:23Z","2025-12-18T22:24:24Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2694,"V6.0.0","OPEN","talhayasir19","2025-09-09T07:14:12Z","2025-09-09T07:32:14Z","","android;iOS;macOS"
2683,"fix(ios): context menu not updating when setContextMenu is called from Flutter","OPEN","cuong292","2025-08-14T09:36:41Z","2025-08-18T03:45:49Z","",""
2671,"Add WKWebView proxy support for iOS 17+","OPEN","osyuu","2025-07-28T05:36:43Z","2025-07-28T05:37:34Z","",""
2638,"Fix KeepAlive null error","OPEN","mustafayildiz12","2025-06-02T13:47:26Z","2026-06-03T03:32:58Z","","android;iOS;windows;macOS;web"
2631,"fix: remove printing headers inside server listen","OPEN","Osama-Al-Fawaz","2025-05-26T13:39:01Z","2025-05-26T13:39:10Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2614,"Fix: keepAlive not working when URL changed","OPEN","Hamed233","2025-05-01T21:20:19Z","2025-06-18T05:51:57Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2575,"fix: add _disable_constexpr_mutex_constructor macro to prevent compil…","OPEN","Oreoxp","2025-03-24T03:23:59Z","2025-03-24T03:33:29Z","","windows;linux"
2574,"bug-fix: update evaluateJavaScript method signature to use @MainActor…","OPEN","mehmetakdumn604","2025-03-23T07:24:03Z","2025-03-23T07:24:05Z","","iOS;macOS"
2564,"refactor: inappwebview example","OPEN","maxmitz","2025-03-17T15:13:55Z","2025-03-17T15:16:03Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2563,"Update InterceptAjaxRequestJS.swift","OPEN","lazypart","2025-03-16T03:33:05Z","2025-07-19T07:09:17Z","","iOS;macOS"
2558,"fix: `ChannelController.debugAssertNotDisposed()` throwing when calli…","OPEN","MSOB7YY","2025-03-12T03:18:44Z","2026-06-03T03:32:58Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2548,"fix: dealloc InAppWebViewManager","OPEN","letrungdo","2025-03-04T08:28:32Z","2025-06-30T12:04:00Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2526,"Download when nuget.exe not exists","OPEN","frg2089","2025-02-10T13:00:19Z","2026-02-26T00:53:42Z","","windows;linux"
2495,"[web] move some functions from js to dart","OPEN","p-mazhnik","2025-01-11T00:31:43Z","2025-01-11T00:31:45Z","","android;iOS;windows;macOS;linux;platform_interface;plugin;web"
2474,"Compatible with Android 10 and below WebViewFeature.WEB_MESSAGE_LISTENER is false, receive postMessage message","OPEN","kirito0206","2024-12-23T02:08:00Z","2025-05-14T13:34:29Z","","android;iOS;macOS;plugin"
2390,"WIP android: Renders properly content outside viewports","OPEN","lucasdessy","2024-11-01T23:09:21Z","2026-06-03T05:20:10Z","",""
2312,"Support keyboardDisplayRequiresUserAction to focus automaticlly in iOS","OPEN","lanistor","2024-09-30T07:18:55Z","2025-05-21T08:03:22Z","",""
2243,"Fixes CVE-2020-6563","OPEN","AlexV525","2024-08-01T09:48:02Z","2026-06-03T03:32:58Z","","android"
2181,"docs(pubdev): add Android, iOS and Web platforms in pubspec.yaml","OPEN","EchoEllet","2024-06-13T15:25:15Z","2024-06-13T15:26:43Z","",""
2105,"fix InterceptAjaxRequest code","OPEN","busyerakli","2024-04-16T04:11:04Z","2024-06-17T08:41:03Z","","iOS"
2099,"bugfix/ajax-blob","OPEN","EArminjon","2024-04-09T15:04:14Z","2026-06-03T05:20:10Z","","android;iOS"
2082,"Bump express from 4.18.1 to 4.19.2 in /test_node_server","OPEN","app/dependabot","2024-03-28T11:29:40Z","2024-03-28T11:29:41Z","","dependencies;javascript"
2033,"android: request camera permission for inputs","OPEN","vaetas","2024-02-20T19:45:29Z","2026-06-03T05:21:56Z","","android"
2023,"bugfix/ajax","OPEN","EArminjon","2024-02-15T10:17:49Z","2024-07-22T06:18:16Z","","iOS"
1952,"Fix credentials typo","OPEN","michalsrutek","2023-12-29T20:26:45Z","2024-03-07T08:32:18Z","","iOS"
1756,"Fix/ios keyboard appearance","OPEN","moubaraks","2023-08-17T13:55:17Z","2025-04-09T13:27:01Z","","flutter/dart;iOS"
1679,"added support for window.open in onCreateWindow (android)","OPEN","zopagaduanjr","2023-05-31T17:53:05Z","2026-06-03T03:37:55Z","","android"
1659,"Fix: Wait for a blank page to be loaded before closing the browser","OPEN","vladimir-beloded","2023-05-19T07:59:02Z","2026-06-03T05:21:56Z","","android"
1603,"Fix: windowType not checked in InAppBrowser show function macOS","OPEN","dmeuwissen","2023-03-29T14:45:09Z","2023-05-17T08:01:29Z","","iOS"
1342,"Update InAppWebView.swift","OPEN","DevilQo","2022-09-29T09:50:22Z","2023-05-15T12:30:26Z","","iOS"
1105,"fix screen freeze bug  when keyboard is shown and textfield doesn't move","OPEN","HajimeNakahara","2022-03-04T04:17:02Z","2024-12-01T19:32:12Z","","iOS"
